question,label
고양이가 기생충을 토했어요..,S-ANIMAL O O
강아지가 기생충을 토했어요..,S-ANIMAL O O
기생충을 토했어요..,O O
고양이가 기생충을 토했어,S-ANIMAL O O
강아지가 기생충을 토했어,S-ANIMAL O O
기생충을 토했어,O O
고양이가 기생충을 토해,S-ANIMAL O O
강아지가 기생충을 토해,S-ANIMAL O O
기생충을 토해,O O
고양이가 기생충을 토하네,S-ANIMAL O O
강아지가 기생충을 토하네,S-ANIMAL O O
기생충을 토하네,O O
고양이 기생충 토,S-ANIMAL O O
강아지 기생충 토,S-ANIMAL O O
기생충 토,O O
방금 고양이가 토를 했어,O S-ANIMAL O O
방금 강아지가 토를 했어,O S-ANIMAL O O
방금 고양이가 토했어,O S-ANIMAL O
방금 강아지가 토했어,O S-ANIMAL O
방금 고양이가 토 했어,O S-ANIMAL O O
방금 강아지가 토 했어,O S-ANIMAL O O
고양이가 자꾸 토해요,S-ANIMAL O O
고양이가 자꾸 토하네,S-ANIMAL O O
자꾸 토하네,O O
자꾸 토해요,O O
강아지가 자꾸 토해요,S-ANIMAL O O
강아지가 자꾸 토하네,S-ANIMAL O O
음식을 많이먹어서 그런건지 계속 토해요,O O O O O
계속 토해요,O O
고양이가 자주 구토해요,S-ANIMAL O O
강아지가 자주 구토해요,S-ANIMAL O O
자주 구토해요,O O
고양이가 자주 토해요,S-ANIMAL O O
강아지가 자주 토해요,S-ANIMAL O O
자주 토해요,O O
저희집 고양이가 자주 구토해요,O S-ANIMAL O O
저희집 강아지가 자주 구토해요,O S-ANIMAL O O
저희집 고양이가 자주 토해요,O S-ANIMAL O O
저희집 강아지가 자주 토해요,O S-ANIMAL O O
고양이가 구토를 자주해요,S-ANIMAL O O
강아지가 구토를 자주해요,S-ANIMAL O O
구토를 자주해요,O O
고양이가 토를 자주해요,S-ANIMAL O O
강아지가 토를 자주해요,S-ANIMAL O O
토를 자주해요,O O
구토만 대여섯번 했나.. 침대에도 있고..,O O O O O
고양이 토에서 꿈틀거리는 것이 나왔습니다.,S-ANIMAL O O O O
강아지 토에서 꿈틀거리는 것이 나왔습니다.,S-ANIMAL O O O O
토에서 꿈틀거리는 것이 나왔습니다.,O O O O
고양이가 토를 했는데 토에서 회충같은게 나왔습니다.,S-ANIMAL O O O O O
강아지가 토를 했는데 토에서 회충같은게 나왔습니다.,S-ANIMAL O O O O O
토를 했는데 토에서 회충같은게 나왔습니다.,O O O O O
성묘 구토,O O
성견 구토,O O
계속 토를해요..,O O
고양이나 강아지가 안보는사이에 토를한건지 뭔지 모르겠어요;;,S-ANIMAL S-ANIMAL O O O O
토를 한10회가량 하였습니다 노란토,O O O O
식후엔 갈색토,O O
식후 갈색토,O O
고양이 토 질문,S-ANIMAL O O
강아지 토 질문,S-ANIMAL O O
토 질문,O O
강아지 토 질문합니다,S-ANIMAL O O
고양이 토 질문합니다,S-ANIMAL O O
토 질문합니다,O O
고양이가 자꾸 사료를 토해요ㅠ 도와주세요..,S-ANIMAL O O O O
고양이가 자꾸 사료를 토해요,S-ANIMAL O O O
자꾸 사료를 토해요,O O O
강아지가 자꾸 사료를 토해요,S-ANIMAL O O O
고양이가 헤어볼 토할때,S-ANIMAL O O
고양이는 헤어볼을 토하잖아요,S-ANIMAL O O
"새끼고양이 범백 치료 중에 설사,물토 증상이 있는데요",S-ANIMAL O O O O O O
고양이가 토해요,S-ANIMAL O
토해요,O
고양이가 토를 해요,S-ANIMAL O O
토를 해요,O O
갑자기 하지않던 토를 하네요,O O O O
최근 무마취로 미용후에 토를 자꾸하네요,O O O O O
"동물병원 약을 자꾸 뱉고 토하고 그러는데요,",O O O O O O
